
country, date, income, users, orders, complaints
Poland,2016-08-02,634,14,46,1
Poland,2016-08-03,2943,80,18,4
Poland,2016-08-04,2398,32,0,2
Poland,2016-08-05,1536,23,2,2
Poland,2016-08-06,2311,73,47,0
Poland,2016-08-07,1337,34,19,4
Poland,2016-08-08,2678,72,15,3
Poland,2016-08-09,1191,20,20,0
Poland,2016-08-10,1752,78,18,2
Poland,2016-08-11,34,6,32,4
Poland,2016-08-12,2037,54,37,5
Poland,2016-08-13,167,6,12,3
Poland,2016-08-14,342,36,26,3
Poland,2016-08-15,49,68,40,0
Poland,2016-08-16,1995,14,5,4
Poland,2016-08-17,1061,32,11,2
Poland,2016-08-18,2906,8,17,4
Poland,2016-08-19,890,46,38,0
Poland,2016-08-20,915,36,14,3
Poland,2016-08-21,1749,23,13,0
Poland,2016-08-22,2506,52,24,0
Poland,2016-08-23,388,80,27,1
Poland,2016-08-24,2948,33,50,4
Poland,2016-08-25,235,43,31,3
Poland,2016-08-26,762,38,27,4
Poland,2016-08-27,314,80,25,1
Poland,2016-08-28,1823,34,7,3
Poland,2016-08-29,1088,29,36,3
Poland,2016-08-30,2784,46,30,5
Poland,2016-08-31,2951,33,24,5
Poland,2016-09-01,1822,2,16,2
Poland,2016-09-02,65,3,4,5
Poland,2016-09-03,2476,15,6,0
Poland,2016-09-04,2682,47,30,1
Poland,2016-09-05,686,77,9,4
Poland,2016-09-06,1203,74,50,1
Poland,2016-09-07,2218,55,33,1
Poland,2016-09-08,707,1,22,4
Poland,2016-09-09,269,51,42,1
Poland,2016-09-10,2799,28,39,2
Poland,2016-09-11,2511,29,49,4
Poland,2016-09-12,2004,13,47,3
Poland,2016-09-13,1172,32,15,3
Poland,2016-09-14,2973,24,37,3
Poland,2016-09-15,56,60,36,0
Poland,2016-09-16,441,72,30,0
Poland,2016-09-17,1092,6,28,3
Poland,2016-09-18,2266,19,22,0
Poland,2016-09-19,1173,73,10,5
Poland,2016-09-20,1763,19,49,0
Poland,2016-09-21,2338,0,37,4
Poland,2016-09-22,1014,16,44,1
Poland,2016-09-23,302,54,50,4
Poland,2016-09-24,1881,2,44,3
Poland,2016-09-25,981,47,14,4
Poland,2016-09-26,2662,1,22,2
Poland,2016-09-27,897,26,39,2
Poland,2016-09-28,1038,49,14,1
Poland,2016-09-29,1951,17,38,5
Poland,2016-09-30,757,7,35,4
Poland,2016-10-01,63,8,6,2
Poland,2016-10-02,273,29,43,1
Poland,2016-10-03,1709,49,15,4
Poland,2016-10-04,480,24,44,1
